City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
117,bardai,11.65,7.2333,23.28,17,5,3.77,NG,1707694684
118,sabana grande de boya,18.945,-69.7933,26.22,77,0,2.37,DO,1707694684
119,coari,-4.085,-63.1414,23.96,99,100,1.08,BR,1707694684
120,lodja,-3.4833,23.4333,21.32,87,98,0.66,CD,1707694684
121,gadzhiyevo,69.2551,33.3362,-14.01,92,100,3.17,RU,1707694685
122,saint-mandrier-sur-mer,43.078,5.929,11.78,67,0,8.23,FR,1707694685
123,pennsville,39.6535,-75.5166,9.62,66,100,1.54,US,1707694685
124,papayal,-4.0761,-80.7361,25.67,83,93,0.91,PE,1707694685
125,punta arenas,-53.15,-70.9167,10.06,50,20,11.83,CL,1707694631
126,mammoth lakes,37.6485,-118.9721,2.4,38,0,0.0,US,1707694685
127,mopti,14.6667,-4.0,26.07,8,0,3.49,ML,1707694686
128,st. john's,47.5649,-52.7093,1.75,92,100,2.57,CA,1707694400
129,colonia,50.9333,6.95,8.87,82,100,2.06,DE,1707694439
130,marquette,46.5333,-87.6335,-1.24,67,100,2.74,US,1707694686
131,stanley,54.868,-1.6985,3.01,94,0,3.6,GB,1707694686
132,tazacorte,28.629,-17.9293,19.54,78,100,3.09,ES,1707694686
133,basoko,1.2391,23.616,25.49,64,91,1.52,CD,1707694686
134,susuman,62.7833,148.1667,-34.99,100,100,0.35,RU,1707694686
135,abu zabad,12.35,29.25,19.87,12,1,4.8,SD,1707694687
136,bredy,52.4153,60.3411,-22.17,100,33,2.77,RU,1707694687
137,fortuna,40.5982,-124.1573,14.43,89,100,4.63,US,1707694687
138,praia da vitoria,38.7333,-27.0667,17.14,82,40,11.79,PT,1707694687
139,iskateley,67.6803,53.1512,-30.55,100,66,1.79,RU,1707694687
140,vrangel',42.7297,133.0839,-3.14,67,1,3.23,RU,1707694687
141,prineville,44.2999,-120.8345,11.94,46,100,4.12,US,1707694399
142,rabaul,-4.1967,152.1721,28.54,74,100,7.19,PG,1707694687
143,shijiazhuang,38.0414,114.4786,-2.08,37,0,1.34,CN,1707694688
144,krasnogvardeyskoye,45.8456,41.5186,11.46,64,100,3.1,RU,1707694688
145,georgetown,5.4112,100.3354,26.96,77,20,3.6,MY,1707694688
146,gizo,-8.103,156.8419,27.99,78,76,4.15,SB,1707694688
147,shizunai-furukawacho,42.3339,142.3669,-2.0,65,29,1.41,JP,1707694688
148,khrystynivka,48.8249,29.9681,7.88,89,78,4.81,UA,1707694688
149,aginskoye,51.1,114.53,-9.87,87,82,2.65,RU,1707694688
150,balykchy,42.4557,76.1861,1.0,80,94,2.75,KG,1707694688
151,weyburn,49.6668,-103.8511,0.12,74,16,5.14,CA,1707694689
152,petropavlovsk-kamchatsky,53.0452,158.6483,-17.53,81,0,5.0,RU,1707694689
153,ust-nera,64.5667,143.2,-35.49,99,96,0.65,RU,1707694689
154,holualoa,19.6228,-155.9522,24.91,76,40,5.14,US,1707694689
155,chibougamau,49.9168,-74.3659,-9.21,79,100,3.6,CA,1707694689
156,margaret river,-33.95,115.0667,19.14,67,0,7.71,AU,1707694689
157,plastun,44.7561,136.2939,-6.47,65,68,2.16,RU,1707694689
158,smidovich,48.6,133.8167,-10.79,94,100,4.27,RU,1707694689
159,alindao,5.0267,21.2088,28.27,29,21,2.24,CF,1707694689
160,shanting,35.0753,117.4578,4.07,73,0,2.35,CN,1707694690
161,port-gentil,-0.7193,8.7815,26.98,94,20,1.54,GA,1707694690
162,port elizabeth,-33.918,25.5701,20.16,81,0,4.63,ZA,1707694690
163,avarua,-21.2078,-159.775,28.03,69,75,6.17,CK,1707694690
164,crane,31.3974,-102.3501,5.91,65,77,8.44,US,1707694690
165,mili,6.0815,171.735,27.17,82,92,10.41,MH,1707694690
166,lock haven,41.137,-77.4469,5.2,85,63,0.96,US,1707694690
167,oodweyne,9.4092,45.064,20.59,50,10,2.79,SO,1707694691
168,zeya,53.75,127.2667,-14.17,96,100,2.98,RU,1707694691
169,anadyr,64.75,177.4833,-23.72,77,89,7.0,RU,1707694691
170,gremda,34.75,10.7833,12.11,54,20,1.54,TN,1707694691
171,tura,25.5198,90.2201,14.21,51,28,1.42,IN,1707694691
172,vila franca do campo,37.7167,-25.4333,18.27,99,58,7.57,PT,1707694691
173,anaconda,46.1285,-112.9423,-1.45,88,100,0.63,US,1707694691
174,pisco,-13.7,-76.2167,26.03,69,0,9.77,PE,1707694454
175,san andres,12.5847,-81.7006,28.01,78,40,4.63,CO,1707694601
176,i-n-salah,27.1935,2.4607,19.85,31,0,4.89,DZ,1707694692
177,hithadhoo,-0.6,73.0833,27.41,76,42,3.79,MV,1707694692
178,codrington,-38.2667,141.9667,21.29,63,9,2.87,AU,1707694692
179,college,64.8569,-147.8028,-3.44,84,75,0.0,US,1707694692
180,keflavik,64.0049,-22.5624,-1.76,74,0,5.14,IS,1707694692
181,la'ie,21.6477,-157.9253,26.68,76,6,0.45,US,1707694692
182,portage la prairie,49.9728,-98.2926,-6.4,90,67,3.94,CA,1707694692
183,sarandi grande,-33.7333,-56.3333,29.63,57,39,3.42,UY,1707694693
184,island harbour,50.724,-1.2758,6.63,90,64,0.45,GB,1707694693
185,rio grande,-32.035,-52.0986,25.06,96,58,3.15,BR,1707694674
186,port lincoln,-34.7333,135.8667,28.18,37,0,1.85,AU,1707694693
187,lubang,13.8584,120.124,25.08,72,14,13.87,PH,1707694693
188,whitehorse,60.7161,-135.0538,1.17,66,100,10.8,CA,1707694646
189,saipan,15.1355,145.701,28.39,65,40,6.69,MP,1707694693
190,whitecourt,54.1502,-115.6855,4.58,38,75,2.57,CA,1707694693
191,saint-philippe,-21.3585,55.7679,24.77,89,34,4.53,RE,1707694694
192,puerto baquerizo moreno,-0.9,-89.6,27.03,80,15,3.59,EC,1707694694
193,new norfolk,-42.7826,147.0587,23.73,41,98,1.52,AU,1707694694
194,weno,7.4515,151.8468,28.97,74,75,5.14,FM,1707694694
195,tazovsky,67.4667,78.7,-32.41,98,100,2.8,RU,1707694694
196,alpine,32.835,-116.7664,16.17,38,0,4.63,US,1707694694
197,enriquillo,17.9,-71.2333,26.82,75,0,4.26,DO,1707694694
198,pasni,25.2631,63.471,19.95,59,100,0.75,PK,1707694695
199,ouadda,8.0777,22.4007,23.44,26,11,2.31,CF,1707694695
200,navashino,55.5292,42.2003,-11.09,93,100,3.43,RU,1707694695
201,abaza,52.655,90.0928,-18.36,96,39,2.41,RU,1707694695
202,isafjordur,66.0755,-23.124,1.88,74,72,14.04,IS,1707694695
203,ca mau,9.1769,105.15,23.68,79,9,3.31,VN,1707694695
204,kerikeri,-35.2268,173.9474,20.75,61,18,3.69,NZ,1707694695
205,hamilton,39.1834,-84.5333,7.83,65,0,3.6,US,1707694493
206,cheney,47.4874,-117.5758,4.18,88,100,3.6,US,1707694696
207,agat village,13.3886,144.6585,29.09,67,20,7.72,GU,1707694696
208,okha,53.5739,142.9478,-19.21,95,99,2.44,RU,1707694696
209,byron bay,-28.65,153.6167,26.51,61,84,3.17,AU,1707694696
210,alice springs,-23.7,133.8833,32.9,38,40,3.09,AU,1707694696
211,aliveri,38.4167,24.0333,16.9,84,100,8.75,GR,1707694696
212,buala,-8.145,159.5921,29.25,72,61,3.59,SB,1707694696
213,'ain el hadjar,34.7585,0.1453,8.63,78,98,8.2,DZ,1707694696
214,madinat ash shamal,26.1293,51.2009,16.01,88,100,3.95,QA,1707694697
215,bonny,4.4522,7.1681,27.92,80,9,2.74,NG,1707694697
216,palikir - national government center,6.9248,158.1611,28.47,65,100,7.72,FM,1707694697
217,roccella ionica,38.322,16.4009,10.71,96,97,7.11,IT,1707694697
218,yanchep,-31.55,115.6833,25.9,65,0,5.52,AU,1707694697
219,turpan,42.9333,89.1667,2.89,56,3,2.49,CN,1707694697
220,fada,9.5667,8.3,23.75,25,1,1.84,NG,1707694697
221,ceeldheer,3.8488,47.1806,24.11,86,78,4.07,SO,1707694697
222,mitterteich,49.9486,12.2383,6.39,92,100,2.24,DE,1707694698
223,bamboo flat,11.7,92.7167,28.05,78,40,2.06,IN,1707694698
224,baruun-urt,46.6806,113.2792,-10.79,87,9,7.38,MN,1707694698
225,santiago de cao,-7.9589,-79.2392,25.07,78,75,5.14,PE,1707694698
226,zambezi,-13.5432,23.1047,20.07,83,99,1.03,ZM,1707694698
227,horodnye,45.8908,28.8483,13.58,67,87,7.31,UA,1707694698
228,aral,40.5156,81.2636,0.31,56,16,1.64,CN,1707694698
